Bis, The End Starts Today
Desperate Journalist, 7
Pom Poko, Growing Story
Fire Engines, Everyhing's Roses
His Electro Blue Voice, By Chance
KEG, Sate The Worm
GHLOW, Lost My Mind
Enumclaw, Not Just Yet
Girl Ultra, 5to elemento
Lush, Second Sight
Lilys, Timber
Drop Nineteens, Winona
Mhaol, Pursuit
Drahla, Grief In Phantasia
Milli Vanilli, Blame It on the Rain
Billie Eilish, BIRDS OF A FEATHER
Jon Secada, Just Another Day
Crowded House, Don't Dream It's Over
Chappell Roan, Good Luck, Babe!
Roxette, It Must Have Been Love
Wham!, Club Tropicana
Timex Social Club, Rumors
Pretty Poison, Catch Me (I'm Falling)
JADE, Angel Of My Dreams
maura dot com, A Working Theory Of Clerks-Core
Fake Fruit, Well Song
Dry Cleaning, Her Hippo
Hot Hot Heat, 5 Times Out Of 100
The Rondelles, Revenge
Cotton Candy, M-A-U-R-A
Gary Portnoy, ‘Cheers’ End Credits
Donna Summer, MacArthur Park
Gregtronic, Greg Wymer
Willie Nelson, Do You Realize??
Allie Goertz, We're In This Together
The Kills, Happier Than Ever
The Scarlet Opera, Heaven Is a Place on Earth
The Black Sweden, Ballroom Blitz / Dancing Queen
Charli xcx &amp; The Japanese House, Apple
Me First and The Gimme Gimmes, Believe
Dinosaur Jr., Show Me the Way
The Popguns, Can I Kick It?
Robert Palmer, You Can Have It (Take My Heart)
Dave Matthews &amp; Tim Reynolds, Kashmir (live)
Love and Rockets, Ball of Confusion (That's What the World is Today)
Deep Street Soul, Kick Out the Jams
Jimmy Buffett, Weather With You
Cyndi Lauper, Walk On By
Sebadoh, Cold as Ice (live on XFM)
Emm Gryner, Crazy Train
Eagles of Death Metal, Family Affair
Social Distortion, Maybeline
The Jaded Hearts Club, Reach Out I'll Be There
Stevie Wonder, For Once in My Life
Little Richard, Good Golly Miss Molly
UB40, Red Red Wine
U2, Night + Day
Lone Cowboys, You Light Up My Life
Patti Smith, Gloria
Slothrust, Pony
Sponge, The More You Ignore Me, The Closer I Get
Pixies, Crackity Jones
Mingus Big Band, Moanin'
Depeche Mode, Happiest Girl (The Pulsating Orbital Vocal Mix)
Dr. John, Don't Get Around Much Anymore
Harry Connick Jr., How Do Ya'll Know
Galactic, Love On the Run
Willie Bobo, Haitian Lady
Little Tempo, SKY STEPPER
Olympia Brass Band, It Ain't My Fault
Jamaican Jazz Orchestra, Brain Freeze
Ray Barretto, Cocinando
Colectivo Colombia, Antonio Arnedo &amp; Hugo Candelario, Aguabajeando
Julio Gutierrez Y Su Orquesta, San Luis Blues
Mongo Santamaria, Sofrito
Fila Brazillia, Little Dipper
Public Service Broadcasting, Monsoons
Blur, On Your Own
Decorator, Chariots
Shigeto &amp;Kesswa, Can't Keep Up
DJ Logic, Captain in Command (feat. Masta Ace &amp; M-TRI) [Super Tasty Jazz Hop Mix]
Groove Collective, Some People
Ankoku Tairiku Jagatara, Tango
Mute Beat, Metro
Shibusashirazu, Nagisanohito
Sofi Tukker, Bread
Ginger Root, Loretta (日本語 version)
YOUR SONG IS GOOD, Motion (2019 Sessions)
David Bowie, Where Are We Now?
Angel Olsen, Sister
Beck, Beautiful Way
Two Door Cinema Club, Do You Want It All?
St. Vincent, Strange Mercy
Phil Collins, Take Me Home
ABBA, Under Attack
Joni Mitchell, Both Sides Now
Crosby, Stills &amp; Nash, Suite: Judy Blue Eyes
Queen, Love Of My Life
The Zombies, Time of the Season
Johnny Hallyday, San Francisco
The Stone Roses, Fools Gold
Paul van Dyk, Nothing but You (feat. Hemstock &amp; Jennings)
Röyksopp, Dead to the World
Class Actress, Weekend
Lemonade, Whitecaps
Com Truise, Air Cal
The Japanese House, went to meet her (intro)
The Japanese House, Maybe You're the Reason
Sébastien Tellier, La ritournelle
Rilo Kiley, Silver Lining
MIDI-96, CANYON.MID (OPL3 version)
Third Eye Blind, I Want You
warmachine, Coolest Hell
Overrider, Kill-9 DIs
Nuclear Daisies, Cinnamon Kiss
Hollow Sunshine, Thank You
___gauze, Joules
Her New Knife, purepurepure
Type O Negative, Black Sabbath
Hexis, Umbrae
Chat Pile, No Way Out
Atomic Prey, Fear
The Death of Money, Trust the Outsiders
Stalled, Company Time
Unknown Freqencies, bring back good covers
Garbage, #1 Crush
Year of the Rabbit, Hunted
Quicksand, Cosmonauts
Alice in Chains, Brother (Live 1996 MTV Unplugged)
Sex Week, Toad Mode
Polamine, Eleanor
Trailer Trash Tracys, Candy Girl
Coma Dream, KNow
Fontaines D.C., Desire
Dum Dum Girls, Coming Down
Satan, Trial By Fire
Chaos Inception, Collision With Oblivion
Testament, Blessing In Contempt
Heinous Killings, Dissected Spinal Cord
Simon Stålenhag, 64kb Waterspouts
Ulcerate, Further Opening the Wounds
Judas Priest, Locked In
Heaving Earth, Beyond the Void
Absu, Infinite and Profane Thrones
Jethro Tull, Wolf Unchained
Kalmah, With Terminal Velocity
Putridity, Euphoric State of Dementia
Animals As Leaders, CAFO
Simon Stålenhag, 64kb Waterspouts
Demolition Hammer, Crippling Velocity
Faith No More, Helpless
Ratt, Lay It Down
Black Flag, Black Coffee
Whoredom Rife, Phantom Sword
Xoth, Reflective Nemesis
Simon Stålenhag, 64kb Waterspouts
Monstrosity, Darkest Dream
Ninkharsag, The Dread March of Solemn Gods
Deeds of Flesh, Xeno-Virus
Symbyosis, Truth
Darkane, Innocence Gone
Utah Saints, Something Good
The Campaign For Real Time, Something Is Wrong
Death Grips, I've Seen Footage
Messiah, Temple of Dreams
EMF, Long Summer Days
New Order, Temptation (Secret Machines Remix)
Lime Garden, Pulp
Yard Act, The Overload
The Cure, Open
Yin Yin, Nautilus
Bohannon, Let's Start the Dance
The Winners, Get Ready for the Future
Lexsoul Dancemachine, Beef Grinder
Dee Gees, You Should Be Dancing
A Taste of Honey, Boogie Oogie Oogie (Single Version 2)
The Gap Band, Early In the Morning (Original 7" Version)
Hot Chip, She Wolf
ABBA, Gimme! Gimme! Gimme! (A Man After Midnight)
Utah Saints, What Can You Do For Me
Basement Jaxx, Magnificent Romeo
Lily Allen, LDN
Say She She, Norma
Book Of Love, Tubular Bells/Pretty Boys and Pretty Girls (Regan's House Medley)
Underworld, The Hump (Wild Beast)
The Cure, Why Can't I Be You?
Pretenders, Message of Love
The Charlatans, The Only One I Know
Tori Amos, Take To the Sky
The Sugarcubes, Delicious Demon
The Who, Squeeze Box
The Traveling Wilburys, Not Alone Any More
The Smiths, The Boy With the Thorn In His Side
David Bowie, Black Country Rock
International Pen Pal, Barbara Spinelli [Edit +3db]
Spouse, Focus
Gin Blossoms, Til I Hear It from You
R.E.M., Talk About the Passion
The Stranglers, (Get A) Grip (On Yourself)
The Zombies, Tell Her No
The Beatles, Taxman
The Modern Lovers, Astral Plane
Dub Pistols, Rapture (featuring Terry Hall)
LCD Soundsystem, Get Innocuous! (Live At Madison Square Garden)
Diana King, Shy Guy
Chaka Demus &amp; Pliers, Murder She Wrote
Bob Marley, Could You Be Loved
Lee "Scratch" Perry, Having a Party
Destroyer, Kaputt
Blur, Beetlebum
Concrete Blonde, Bloodletting (The Vampire Song)
Violent Femmes, Please Do Not Go
Classics IV, Spooky
The Clash, Four Horsemen
Toadies, Backslider
Clinic, Sunlight Bathes Our Home
R.E.M., Crush With Eyeliner
Morrissey, Suedehead
Ride, Vapour Trail
Wig Wam, Do Ya Wanna Taste It
Goddamn Draculas, Raise Em Up (Radio)
Alice Cooper, Poison
Roy Orbison, Shahdaroba
Orville Peck, Turn to Hate
The Moody Blues, Your Wildest Dreams
They Might Be Giants, Space Suit
Vulfpeck, Conscious Club (Instrumental)
They Might Be Giants, Istanbul (Not Constantinople)
Deep Purple, Stormbringer
The Cult, The Witch (Edit)
Killing Joke, Love Like Blood
Oingo Boingo, Stay
Wang Chung, Dance Hall Days
The Three O'Clock, Jet Fighter
Sparks, I Married a Martian
LCD Soundsystem, Losing My Edge
Ethel Cain, American Teenager
Chairlift, I Belong In Your Arms
Magdalena Bay, Killing Time
MJ Lenderman, On My Knees
Counting Crows, Omaha
The Wallflowers, One Headlight (Radio Edit)
Sheryl Crow, Can't Cry Anymore
Plains, Problem with It
Kora Puckett, Far as I Can Tell
Clairo, Add Up My Love
The Crane Wives, Arcturus Beaming
Young Scum, Peach Ice Cream
Teenage Fanclub, Star Sign
Super Furry Animals, Something 4 the Weekend (U.S. Version)
Blur, End of a Century
Sugar, Your Favorite Thing
Hurry, Read Between the Lines
I Was a King, Bubble
Lemuria, Sliver of Change
Best Bets, Heaven
Cold Gawd, All My Life, My Heart Has Yearned For a Thing I Cannot Name
Daze, Verano
Blushing, Seafoam
Sungaze, Not Mine to Hold
Muted Color, Where It Lies
Nothing, Blue Line Baby
Cathedral Bells, Everything at Once
Soft Kill, Roseland
Led Zeppelin, Over the Hills and Far Away
Third Eye Blind, I Want You
warmachine, Coolest Hell
Overrider, Kill-9 DIs
Nuclear Daisies, Cinnamon Kiss
Hollow Sunshine, Thank You
___gauze, Joules
Her New Knife, purepurepure
Type O Negative, Black Sabbath
Hexis, Umbrae
Chat Pile, No Way Out
Atomic Prey, Fear
The Death of Money, Trust the Outsiders
Stalled, Company Time
Unknown Freqencies, bring back good covers
Garbage, #1 Crush
Year of the Rabbit, Hunted
Quicksand, Cosmonauts
Alice in Chains, Brother (Live 1996 MTV Unplugged)
Sex Week, Toad Mode
Polamine, Eleanor
Trailer Trash Tracys, Candy Girl
Coma Dream, KNow
Dum Dum Girls, Coming Down
Barry White, Never, Never Gonna Give Ya Up
Nelly, Ride Wit Me (feat. City Spud)
The Salsoul Orchestra, Nice 'N' Naasty (Walter Gibbons 12" Mix)
Introverted Dancefloor, Pipedream
Sam Feldt, Post Malone (feat. RANI)
Shakira, Whenever, Wherever
Miami Sound Machine, Conga
Mylo, In My Arms
The Time, Jungle Love (Single Version)
MCL, New York, New York (Midnight Mix)
Inner City, Big Fun
Yazz and the Plastic Population, The Only Way Is Up
Orbital, The Moebius
The Bucketheads, The Bomb! (These Sound Fall Into My Mind) [Radio Edit]
Faithless, Insomnia 2.0 (Avicii Remix) [Radio Edit]
Duck Sauce, Barbra Streisand
Deadmau5, Ghosts N Stuff (Feat. Rob Swire)
L.A. Style, James Brown Is Dead
Blur, Girls and Boys (Pet Shop Boys 12" Remix)
Robyn, Dancing On My Own
Katy Perry, Teenage Dream
Scissor Sisters, Let's Have A Kiki
Madonna, Like a Prayer
Erasure, A Little Respect
Depeche Mode, Enjoy The Silence (Ewan Pearson Remix)
Eurythmics, Sweet Dreams (Seven Seas Mix)
Todrick Hall, Nails, Hair, Hips, Heels
Prince &amp; The Revolution, When Doves Cry
Lady Gaga, Born This Way
Hot Chip, Freakout/Release
Das Racist &amp; Heems, Combination Pizza Hut and Taco Bell
The Sugarcubes, Delicious Demon
Yeah Yeah Yeahs, Date with the Night
The Kills, Baby Says
Chromatics, Time Rider (On Film)
Vic Mizzy and His Orchestra and Chorus, Main Theme: The Addams Family
Sega Bodega, Naturopathe (feat. Charlotte Gainsbourg)
Portishead, Wandering Star
Pictureplane, Goth Star
Woodkid, Run Boy Run
The Mothers Of Invention, Let's Make The Water Turn Black
Viagra Boys, Creatures
Black Devil Disco Club, Max Stroke
Snõõper, Subdivision
Ibibio Sound Machine, Protection From Evil
Kap Bambino, Human Pills
Angelo Badalamenti, Audrey's Dance
Terry Snider, Puttin' On The Ritz
Bernard Estardy, Cha tatch ka
Black Market Brass, The Pit
Mulatu Astatke, Yègellé Tezeta
The Budos Band, Black Venom
Manfred Hübler &amp; Siegfried Schwab, The Lions And The Cucumber
Sylvain Rifflet, Philippe Gordiani, INST 1.2
Tipsy, Space Golf
La Femme, La Femme
Siouxsie and the Banshees, Trust In Me
Moondog, Bird's Lament
Cruel Diagonals, Penance
David Bowie, We Are The Dead
Anna Meredith, Nautilus
Ulver, It Is Not Sound
Dead Ghosts, Tea Swamp Rumble
Chrome, Moonchild
Nouvelle Vague, A Forest
Nicolas Godin, Team Vulcan
Björk, Mycelia
Giorgio Moroder, Tears
Jana Rush, Moanin'
Exuma, Exuma, The Obeah Man
Vanishing Twin, Big Moonlight (Ookii Gekkou)
The Jesus and Mary Chain, Frequency / Reverence
Memory Tapes, Green Knight
Toro y Moi, Low Shoulders
Washed Out, Amor Fati
Passion Pit, Sleepyhead
Charlotte Gainsbourg, IRM
Yeasayer, Rome
Tangerine Dream, Network 23 (Blutarski Zero Headroom Edit)
Soul Coughing, Lemon Lime
The Secrets, The Loneliest Duet
Vampire Weekend, Campus
Kolya, Somnambulism
Sapling, Everything Was Better
Jonathan Coulton, Mandelbrot Set
The Coral, Dreaming of You
The Kingsmen, Little Latin Lupe Lu
Cream, I Feel Free
The Hollies, Pay You Back With Interest
Johnny Cash, Man In Black
The Magnetic Fields, Lonely Highway
R.E.M., Rotary Eleven
Marvin Berry &amp; The Starlighters, Night Train
James, Sit Down
Catherine Wheel, Little Muscle
Bis, The End Starts Today
The Cure, Shake Dog Shake (New Blood Mix 2018)
Siouxsie &amp; The Banshees, Monitor
HEALTH, HATEFUL
Wolfsheim, Once In A Lifetime
Nine Inch Nails, Sin
Kenny Loggins, Mr. Night
Rainbow, Since You Been Gone
Girls, Lust For Life
The Dandy Warhols, We Used to Be Friends
They Might Be Giants, S-E-X-X-Y (Kendal Mintcake Total Remix)
The Normal, Warm Leatherette
The Tubes, TV Is King
Girls Against Boys, Kill the Sex Player
Brian Eno, Seven Deadly Finns
Stone Temple Pilots, Sour Girl
Midnight Oil, The Dead Heart
The Bryan Ferry Orchestra, Avalon
Brian Eno, Deep Blue Day
Luna, Slash Your Tires
Annie Lennox, No More "I Love You's"
The Chameleons, Don't Fall
The Divine Comedy, National Express (Edit)
Steve Miller Band, Jet Airliner
Dr. John, New Looks
Plastic Bertrand, Ça Plane Pour Moi
Vangelis, Blade Runner (End Titles)
Peter Fernandez and Keith Messier, Popcorn
HELLO, New York Groove
Grace Jones, Nightclubbing
Mike Doughty, Down On The River By The Sugar Plant
R.E.M., First We Take Manhattan
Blondie, In the Flesh
Chuck Mangione, Cannonball Run Theme
LCD Soundsystem, Yr City Is A Sucker (London Sessions)
Soul Coughing, Theme From Rachel's Sitcom
Soul Coughing, Janine
The Psychedelic Furs, President Gas
The Modern Lovers, Roadrunner
Wang Chung, Dance Hall Days
Young MC, Know How
Pixies, Crackity Jones
Blakroc, Tellin' Me Things (f. RZA)
Nine Inch Nails, Wish
Ministry, The Missing (Live)
KMFDM, Sucks (12" Mix Edit)
Public Enemy, Can't Truss It (No Intro)
Beastie Boys, In A World Gone Mad (Original Mix)
Radio 4, State Of Alert
Darkbuster, Hometown Zero
The Action, #9 Aldersey
The Futureheads, Trying Not to Think About Time
Dio, Rainbow In The Dark
The Traveling Wilburys, Heading For The Light
Billy Joe Royal, Down In The Boondocks
Sonny &amp; The Sunsets, Mondrian
Alice In Chains, I Stay Away
Talking Heads, Crosseyed and Painless
Time For Timer, A Hanker For A Hunka
The Hidden Cameras, Death of a Tune
Herman's Hermits, There's A Kind Of Hush
Luscious Jackson, Naked Eye (Remix Of Unknown Origin)
Jimmy Cliff, Wonderful World, Beautiful People
The Mountain Goats, Training Montage
Superchunk, Endless Summer
Frank Black, Man Of Steel
Suburban Lawns, Flying Saucer Safari
Guadalcanal Diary, Ghosts On the Road (LP Version)
Billy Bragg &amp; Wilco, My Flying Saucer
Sugar, Man On The Moon
Porno For Pyros, Pets
Meat Puppets, Unexplained
The Sheila Divine, Awful Age
The Jesus and Mary Chain, Sugar Ray
Medicine, Time Baby II
The Cure, The Empty World
Cargo Solo, Tell Me I'm Beautiful
Spouse, Focus
Faith No More, Underwater Love
The Futureheads, Trying Not to Think About Time
Vic Mizzy and His Orchestra and Chorus, Main Theme: The Addams Family
Sega Bodega, Naturopathe (feat. Charlotte Gainsbourg)
Portishead, Wandering Star
Pictureplane, Goth Star
Woodkid, Run Boy Run
The Mothers Of Invention, Let's Make The Water Turn Black
Viagra Boys, Creatures
Black Devil Disco Club, Max Stroke
Snõõper, Subdivision
Ibibio Sound Machine, Protection From Evil
Kap Bambino, Human Pills
Angelo Badalamenti, Audrey's Dance
Terry Snider, Puttin' On The Ritz
Bernard Estardy, Cha tatch ka
Black Market Brass, The Pit
Mulatu Astatke, Yègellé Tezeta
The Budos Band, Black Venom
Manfred Hübler &amp; Siegfried Schwab, The Lions And The Cucumber
Sylvain Rifflet, Philippe Gordiani, INST 1.2
Tipsy, Space Golf
La Femme, La Femme
Siouxsie and the Banshees, Trust In Me
Moondog, Bird's Lament
Cruel Diagonals, Penance
David Bowie, We Are The Dead
Anna Meredith, Nautilus
Ulver, It Is Not Sound
Dead Ghosts, Tea Swamp Rumble
Chrome, Moonchild
Nouvelle Vague, A Forest
Nicolas Godin, Team Vulcan
Björk, Mycelia
Giorgio Moroder, Tears
Jana Rush, Moanin'
Exuma, Exuma, The Obeah Man
Vanishing Twin, Big Moonlight (Ookii Gekkou)
Adam &amp; The Ants, Zerox
Sleater-Kinney, You're No Rock n' Roll Fun
Blondie, I Know But I Don't Know
The Kinks, Complicated Life
King Crimson, Frame By Frame
Status Quo, Down Down
Malina Moye, K-Yotic (feat. Bootsy Collins)
ZZ Ward, Don't Let Me Down
The Prodigy, Light Up the Sky
Talking Heads, The Good Thing
General Public, Hot You're Cool
Bob Dylan, Watching the River Flow
Pretenders, Mystery Achievement
Stiff Little Fingers, No Change
The Network, Respirator
The Regrettes, Juicebox Baby
Squeeze, Bang Bang
The Neighbor'hoods, Mess
The Undertones, (She's a) Runaround
Method Actors, Notice
They Might Be Giants, Twisting
The Nerves, Working Too Hard
The Stranglers, Mean to Me
Spin Doctors, What Time Is It?
The Screaming Blue Messiahs, Too Much Love
Dixie Dregs, Road Expense
The Donnas, Who Invited You
The Suburbs, Love Is the Law
Free, Woman
The Fugs, CIA Man
The Crystal Method, Acetone
Big Audio Dynamite, The Bottom Line
Garbage, Better Not Lie To Me
Keith Richards, Wicked As It Seems
Pet Shop Boys, Love Comes Quickly
New Order, Everything's Gone Green
Hot Chip, Freakout/Release
The Sisters of Mercy, Marian (Version)
Utah Saints, What Can You Do For Me
Mint Royale, Rock and Roll Bar
Madonna, Beautiful Stranger (William Orbit Radio Edit)
The Farm, Groovy Train (Bootle Mix)
Selena Gomez &amp; The Scene, Love You Like a Love Song
Sophie Ellis-Bextor, Murder On the Dance Floor (Jewels &amp; Stone Remix)
The Grid, Swamp Thing
Britney Spears, Till The World Ends
Brian Eno, Seven Deadly Finns
The Tokens, The Lion Sleeps Tonight (Wimoweh)
The Trashmen, Surfin' Bird
Scatman John, Scatman (Ski-Ba-Bop-Ba-Dop-Bop) [Basic-Radio]
Johnny Cymbal, Mr. Bass Man
Huey 'Piano' Smith, Don't You Just Know It (feat. Bobby Marchan)
Van Morrison, Jackie Wilson Said (I'm In Heaven When You Smile)
Manfred Mann, Do Wah Diddy Diddy
Mahna Mahna &amp; The Snowths, Mahna Mahna
Adriano Celentano, Prisencolinensinainciusol
Ministry, Jesus Built My Hotrod (Short, Pusillanimous, So-They-Can-Fit-More-Commercials-on-the-Radio Edit)
Barry Mann, Who Put the Bomp
Эдуард Хиль, Трололо и Trololo Song и я очерь рад, ведь я наконец возвращаюсь домой
Joe South, Games People Play
Black Helicopter, Under the Gun
Wall of Voodoo, Mexican Radio
Hoodoo Gurus, Waking Up Tired
Ted Leo &amp; The Pharmacists, Under The Hedge
The Dead Milkmen, Punk Rock Girl
The Bats, North By North
the furniture, King of NE
Beastie Boys, Bobo On the Corner
Talking Heads, Lifetime Piling Up
Mingus Big Band, Moanin'
Depeche Mode, Happiest Girl (The Pulsating Orbital Vocal Mix)
Dr. John, Don't Get Around Much Anymore
Harry Connick Jr., How Do Ya'll Know
Galactic, Love On the Run
Willie Bobo, Haitian Lady
Little Tempo, SKY STEPPER
Olympia Brass Band, It Ain't My Fault
Jamaican Jazz Orchestra, Brain Freeze
Ray Barretto, Cocinando
Colectivo Colombia, Antonio Arnedo &amp; Hugo Candelario, Aguabajeando
Julio Gutierrez Y Su Orquesta, San Luis Blues
Mongo Santamaria, Sofrito
Fila Brazillia, Little Dipper
Public Service Broadcasting, Monsoons
Blur, On Your Own
Decorator, Chariots
Shigeto &amp;Kesswa, Can't Keep Up
DJ Logic, Captain in Command (feat. Masta Ace &amp; M-TRI) [Super Tasty Jazz Hop Mix]
Groove Collective, Some People
Ankoku Tairiku Jagatara, Tango
Mute Beat, Metro
Shibusashirazu, Nagisanohito
Sofi Tukker, Bread
Ginger Root, Loretta (日本語 version)
YOUR SONG IS GOOD, Motion (2019 Sessions)
Samuel S.C., Exit Scene
Some Gifts, Tina Turner
Fen Fen, Borscht
Consensus Madness, Animosity
